"By","Against","HomeAway"
"Stoke","Burnley","Away"
"Crystal Palace","Liverpool","Away"
"Arsenal","Man United","Away"
"Newcastle","QPR","Away"
"Aston Villa","Southampton","Away"
"Leicester","Sunderland","Away"
"Man City","Swansea","Away"
"Hull","Tottenham","Away"
"Chelsea","West Brom","Away"
"Everton","West Ham","Away"
"West Brom","Arsenal","Away"
"Burnley","Aston Villa","Away"
"Sunderland","Chelsea","Away"
"Swansea","Crystal Palace","Away"
"Tottenham","Everton","Away"
"Man United","Hull","Away"
"QPR","Leicester","Away"
"Southampton","Man City","Away"
"West Ham","Newcastle","Away"
"Liverpool","Stoke","Away"
