Team,Points
Arsenal,51
Aston Villa,22
Burnley,22
Chelsea,60
Crystal Palace,30
Everton,28
Hull,26
Leicester,18
Liverpool,48
Man City,55
Man United,50
Newcastle,35
QPR,22
Southampton,46
Stoke,39
Sunderland,25
Swansea,40
Tottenham,44
West Brom,30
West Ham,39
