"GoalsScored","By","Against","HomeAway"
0,"Newcastle","Sunderland","Home"
0,"Stoke","Chelsea","Home"
2,"Arsenal","QPR","Home"
0,"Burnley","Liverpool","Home"
2,"Chelsea","West Ham","Home"
1,"Crystal Palace","Southampton","Home"
0,"Everton","Stoke","Home"
1,"Leicester","Tottenham","Home"
3,"Man United","Newcastle","Home"
1,"Sunderland","Hull","Home"
1,"Swansea","Aston Villa","Home"
1,"West Brom","Man City","Home"
0,"Aston Villa","Sunderland","Home"
0,"Hull","Leicester","Home"
2,"Man City","Burnley","Home"
3,"Newcastle","Everton","Home"
0,"QPR","Crystal Palace","Home"
1,"Southampton","Chelsea","Home"
2,"Stoke","West Brom","Home"
0,"Tottenham","Man United","Home"
1,"West Ham","Arsenal","Home"
4,"Liverpool","Swansea","Home"
0,"Aston Villa","Crystal Palace","Home"
2,"Hull","Everton","Home"
2,"Liverpool","Leicester","Home"
3,"Man City","Sunderland","Home"
3,"Newcastle","Burnley","Home"
1,"QPR","Swansea","Home"
2,"Southampton","Arsenal","Home"
1,"Stoke","Man United","Home"
5,"Tottenham","Chelsea","Home"
1,"West Ham","West Brom","Home"
2,"Burnley","QPR","Home"
2,"Chelsea","Newcastle","Home"
2,"Crystal Palace","Tottenham","Home"
1,"Everton","Man City","Home"
1,"Leicester","Aston Villa","Home"
0,"Sunderland","Liverpool","Home"
1,"Swansea","West Ham","Home"
1,"West Brom","Hull","Home"
3,"Arsenal","Stoke","Home"
0,"Man United","Southampton","Home"
0,"Aston Villa","Liverpool","Home"
2,"Burnley","Crystal Palace","Home"
0,"Leicester","Stoke","Home"
1,"Newcastle","Southampton","Home"
0,"QPR","Man United","Home"
0,"Swansea","Chelsea","Home"
2,"Tottenham","Sunderland","Home"
0,"Man City","Arsenal","Home"
3,"West Ham","Hull","Home"
0,"Everton","West Brom","Home"
1,"Chelsea","Man City","Home"
0,"Crystal Palace","Everton","Home"
0,"Hull","Newcastle","Home"
2,"Liverpool","West Ham","Home"
3,"Man United","Leicester","Home"
3,"Stoke","QPR","Home"
2,"Sunderland","Burnley","Home"
0,"West Brom","Tottenham","Home"
5,"Arsenal","Aston Villa","Home"
0,"Southampton","Swansea","Home"
1,"Aston Villa","Chelsea","Home"
0,"Everton","Liverpool","Home"
0,"Leicester","Crystal Palace","Home"
1,"Man City","Hull","Home"
0,"QPR","Southampton","Home"
1,"Swansea","Sunderland","Home"
2,"Tottenham","Arsenal","Home"
2,"Burnley","West Brom","Home"
1,"Newcastle","Stoke","Home"
1,"West Ham","Man United","Home"
2,"Arsenal","Leicester","Home"
2,"Hull","Aston Villa","Home"
3,"Liverpool","Tottenham","Home"
0,"Sunderland","QPR","Home"
1,"Chelsea","Everton","Home"
1,"Crystal Palace","Newcastle","Home"
3,"Man United","Burnley","Home"
0,"Southampton","West Ham","Home"
1,"Stoke","Man City","Home"
2,"West Brom","Swansea","Home"
1,"Aston Villa","Stoke","Home"
1,"Chelsea","Burnley","Home"
1,"Crystal Palace","Arsenal","Home"
2,"Hull","QPR","Home"
5,"Man City","Newcastle","Home"
0,"Sunderland","West Brom","Home"
2,"Swansea","Man United","Home"
2,"Everton","Leicester","Home"
0,"Southampton","Liverpool","Home"
2,"Tottenham","West Ham","Home"
0,"Burnley","Swansea","Home"
2,"Man United","Sunderland","Home"
1,"Newcastle","Aston Villa","Home"
1,"Stoke","Hull","Home"
1,"West Brom","Southampton","Home"
1,"West Ham","Crystal Palace","Home"
2,"Arsenal","Everton","Home"
2,"Liverpool","Man City","Home"
1,"Crystal Palace","Arsenal","Away"
2,"Everton","Leicester","Away"
2,"Swansea","Man United","Away"
1,"Hull","QPR","Away"
1,"Aston Villa","Stoke","Away"
2,"Sunderland","West Brom","Away"
1,"Tottenham","West Ham","Away"
1,"Southampton","Liverpool","Away"
2,"Man City","Newcastle","Away"
3,"Chelsea","Burnley","Away"
0,"Newcastle","Aston Villa","Away"
0,"Leicester","Chelsea","Away"
3,"West Ham","Crystal Palace","Away"
2,"Arsenal","Everton","Away"
0,"West Brom","Southampton","Away"
0,"Burnley","Swansea","Away"
1,"Stoke","Hull","Away"
1,"Man United","Sunderland","Away"
0,"QPR","Tottenham","Away"
1,"Liverpool","Man City","Away"
0,"Man United","Burnley","Away"
6,"Chelsea","Everton","Away"
1,"Stoke","Man City","Away"
3,"Crystal Palace","Newcastle","Away"
0,"Sunderland","QPR","Away"
0,"West Brom","Swansea","Away"
3,"Southampton","West Ham","Away"
1,"Hull","Aston Villa","Away"
1,"Arsenal","Leicester","Away"
3,"Liverpool","Tottenham","Away"
2,"Man City","Arsenal","Away"
2,"Swansea","Chelsea","Away"
0,"Burnley","Crystal Palace","Away"
1,"Aston Villa","Liverpool","Away"
0,"Newcastle","Southampton","Away"
1,"Leicester","Stoke","Away"
2,"Tottenham","Sunderland","Away"
2,"Everton","West Brom","Away"
0,"QPR","Man United","Away"
2,"West Ham","Hull","Away"
3,"Arsenal","Aston Villa","Away"
0,"Sunderland","Burnley","Away"
2,"Hull","Newcastle","Away"
2,"Stoke","QPR","Away"
1,"Southampton","Swansea","Away"
1,"Liverpool","West Ham","Away"
3,"Crystal Palace","Everton","Away"
3,"Man United","Leicester","Away"
1,"Chelsea","Man City","Away"
1,"West Brom","Tottenham","Away"
1,"Tottenham","Arsenal","Away"
0,"Aston Villa","Chelsea","Away"
0,"Leicester","Crystal Palace","Away"
4,"Man City","Hull","Away"
1,"Everton","Liverpool","Away"
1,"West Ham","Man United","Away"
1,"QPR","Southampton","Away"
0,"Swansea","Sunderland","Away"
0,"Burnley","West Brom","Away"
0,"Newcastle","Stoke","Away"
2,"Man City","Aston Villa","Away"
0,"Crystal Palace","Hull","Away"
2,"Burnley","Leicester","Away"
1,"West Brom","Liverpool","Away"
1,"Stoke","Sunderland","Away"
2,"Newcastle","Swansea","Away"
0,"Arsenal","Chelsea","Away"
1,"Everton","Man United","Away"
0,"Southampton","Tottenham","Away"
0,"QPR","West Ham","Away"
2,"Hull","Arsenal","Away"
3,"West Ham","Burnley","Away"
2,"Chelsea","Crystal Palace","Away"
0,"Aston Villa","Everton","Away"
1,"Tottenham","Man City","Away"
0,"Leicester","Newcastle","Away"
0,"Sunderland","Southampton","Away"
3,"Liverpool","QPR","Away"
1,"Swansea","Stoke","Away"
2,"Man United","West Brom","Away"
0,"Hull","Liverpool","Away"
0,"Stoke","Southampton","Away"
2,"Arsenal","Sunderland","Away"
0,"Leicester","Swansea","Away"
2,"Crystal Palace","West Brom","Away"
1,"Man City","West Ham","Away"
3,"Everton","Burnley","Away"
1,"Chelsea","Man United","Away"
2,"Newcastle","Tottenham","Away"
0,"Aston Villa","QPR","Away"
0,"Burnley","Arsenal","Away"
1,"QPR","Chelsea","Away"
0,"Swansea","Everton","Away"
1,"Southampton","Hull","Away"
1,"West Brom","Leicester","Away"
0,"Liverpool","Newcastle","Away"
2,"West Ham","Stoke","Away"
2,"Tottenham","Aston Villa","Away"
0,"Man United","Man City","Away"
3,"Sunderland","Crystal Palace","Away"
0,"Hull","Burnley","Away"
2,"Chelsea","Liverpool","Away"
0,"Crystal Palace","Man United","Away"
2,"Man City","QPR","Away"
0,"Leicester","Southampton","Away"
0,"Aston Villa","West Ham","Away"
1,"Everton","Sunderland","Away"
1,"Arsenal","Swansea","Away"
2,"Stoke","Tottenham","Away"
2,"Newcastle","West Brom","Away"
2,"Man United","Arsenal","Away"
0,"West Brom","Chelsea","Away"
1,"West Ham","Everton","Away"
0,"Sunderland","Leicester","Away"
1,"Swansea","Man City","Away"
0,"QPR","Newcastle","Away"
2,"Burnley","Stoke","Away"
1,"Liverpool","Crystal Palace","Away"
2,"Tottenham","Hull","Away"
1,"Southampton","Aston Villa","Away"
1,"Aston Villa","Burnley","Away"
0,"Stoke","Liverpool","Away"
0,"Hull","Man United","Away"
2,"Leicester","QPR","Away"
0,"Chelsea","Sunderland","Away"
1,"Crystal Palace","Swansea","Away"
1,"Arsenal","West Brom","Away"
0,"Newcastle","West Ham","Away"
3,"Man City","Southampton","Away"
1,"Everton","Tottenham","Away"
1,"Newcastle","Burnley","Away"
1,"Aston Villa","Crystal Palace","Away"
3,"Liverpool","Leicester","Away"
1,"Stoke","Man United","Away"
0,"QPR","Swansea","Away"
2,"West Ham","West Brom","Away"
0,"Southampton","Arsenal","Away"
0,"Tottenham","Chelsea","Away"
1,"Hull","Everton","Away"
4,"Man City","Sunderland","Away"
0,"West Brom","Hull","Away"
0,"Sunderland","Liverpool","Away"
0,"Everton","Man City","Away"
1,"Chelsea","Newcastle","Away"
0,"Burnley","QPR","Away"
2,"Arsenal","Stoke","Away"
0,"Crystal Palace","Tottenham","Away"
1,"Leicester","Aston Villa","Away"
1,"Swansea","West Ham","Away"
2,"Man United","Southampton","Away"
1,"Newcastle","Arsenal","Away"
0,"Southampton","Burnley","Away"
0,"Hull","Chelsea","Away"
1,"Stoke","Crystal Palace","Away"
1,"Man City","Leicester","Away"
1,"West Ham","Sunderland","Away"
0,"Aston Villa","West Brom","Away"
0,"Liverpool","Man United","Away"
2,"Tottenham","Swansea","Away"
1,"QPR","Everton","Away"
1,"Man United","Aston Villa","Away"
1,"Swansea","Hull","Away"
0,"Crystal Palace","Man City","Away"
2,"West Brom","QPR","Away"
0,"Everton","Southampton","Away"
1,"Burnley","Tottenham","Away"
0,"Leicester","West Ham","Away"
2,"Arsenal","Liverpool","Away"
1,"Sunderland","Newcastle","Away"
2,"Chelsea","Stoke","Away"
1,"QPR","Arsenal","Away"
1,"Liverpool","Burnley","Away"
0,"West Ham","Chelsea","Away"
3,"Southampton","Crystal Palace","Away"
1,"Stoke","Everton","Away"
2,"Tottenham","Leicester","Away"
1,"Newcastle","Man United","Away"
3,"Hull","Sunderland","Away"
0,"Aston Villa","Swansea","Away"
3,"Man City","West Brom","Away"
0,"Sunderland","Aston Villa","Away"
1,"Leicester","Hull","Away"
2,"Burnley","Man City","Away"
2,"Everton","Newcastle","Away"
0,"Crystal Palace","QPR","Away"
1,"Chelsea","Southampton","Away"
0,"West Brom","Stoke","Away"
0,"Man United","Tottenham","Away"
2,"Arsenal","West Ham","Away"
1,"Swansea","Liverpool","Away"
0,"Crystal Palace","Aston Villa","Away"
0,"Everton","Hull","Away"
2,"Leicester","Liverpool","Away"
2,"Sunderland","Man City","Away"
3,"Burnley","Newcastle","Away"
1,"Swansea","QPR","Away"
0,"Arsenal","Southampton","Away"
1,"Man United","Stoke","Away"
3,"Chelsea","Tottenham","Away"
1,"West Brom","West Ham","Away"
1,"QPR","Burnley","Away"
0,"Newcastle","Chelsea","Away"
1,"Tottenham","Crystal Palace","Away"
1,"Man City","Everton","Away"
0,"Aston Villa","Leicester","Away"
1,"Liverpool","Sunderland","Away"
1,"West Ham","Swansea","Away"
0,"Hull","West Brom","Away"
0,"Stoke","Arsenal","Away"
1,"Southampton","Man United","Away"
2,"Liverpool","Aston Villa","Away"
3,"Crystal Palace","Burnley","Away"
1,"Stoke","Leicester","Away"
2,"Southampton","Newcastle","Away"
2,"Man United","QPR","Away"
5,"Chelsea","Swansea","Away"
1,"Sunderland","Tottenham","Away"
2,"Arsenal","Man City","Away"
0,"Hull","West Ham","Away"
0,"West Brom","Everton","Away"
1,"Man City","Chelsea","Away"
1,"Everton","Crystal Palace","Away"
3,"Newcastle","Hull","Away"
0,"West Ham","Liverpool","Away"
1,"Leicester","Man United","Away"
1,"QPR","Stoke","Away"
0,"Burnley","Sunderland","Away"
3,"Tottenham","West Brom","Away"
0,"Aston Villa","Arsenal","Away"
1,"Swansea","Southampton","Away"
2,"Chelsea","Aston Villa","Away"
0,"Liverpool","Everton","Away"
1,"Crystal Palace","Leicester","Away"
1,"Hull","Man City","Away"
1,"Southampton","QPR","Away"
1,"Sunderland","Swansea","Away"
1,"Arsenal","Tottenham","Away"
2,"West Brom","Burnley","Away"
1,"Stoke","Newcastle","Away"
1,"Man United","West Ham","Away"
1,"Leicester","Arsenal","Away"
0,"Aston Villa","Hull","Away"
2,"Tottenham","Liverpool","Away"
2,"QPR","Sunderland","Away"
0,"Everton","Chelsea","Away"
1,"Newcastle","Crystal Palace","Away"
1,"Burnley","Man United","Away"
0,"West Ham","Southampton","Away"
4,"Man City","Stoke","Away"
0,"Swansea","West Brom","Away"
2,"Stoke","Aston Villa","Away"
1,"Burnley","Chelsea","Away"
2,"Arsenal","Crystal Palace","Away"
1,"QPR","Hull","Away"
0,"Newcastle","Man City","Away"
0,"West Brom","Sunderland","Away"
1,"Man United","Swansea","Away"
2,"Leicester","Everton","Away"
2,"Liverpool","Southampton","Away"
2,"West Ham","Tottenham","Away"
1,"Swansea","Burnley","Away"
0,"Sunderland","Man United","Away"
0,"Aston Villa","Newcastle","Away"
0,"Hull","Stoke","Away"
0,"Southampton","West Brom","Away"
3,"Crystal Palace","West Ham","Away"
0,"Everton","Arsenal","Away"
1,"Man City","Liverpool","Away"
