"GoalsScored","By","Against","HomeAway"
2,"Arsenal","Crystal Palace","Home"
2,"Leicester","Everton","Home"
1,"Man United","Swansea","Home"
0,"QPR","Hull","Home"
0,"Stoke","Aston Villa","Home"
2,"West Brom","Sunderland","Home"
0,"West Ham","Tottenham","Home"
2,"Liverpool","Southampton","Home"
0,"Newcastle","Man City","Home"
1,"Burnley","Chelsea","Home"
0,"Aston Villa","Newcastle","Home"
2,"Chelsea","Leicester","Home"
1,"Crystal Palace","West Ham","Home"
2,"Everton","Arsenal","Home"
0,"Southampton","West Brom","Home"
1,"Swansea","Burnley","Home"
1,"Hull","Stoke","Home"
1,"Sunderland","Man United","Home"
4,"Tottenham","QPR","Home"
3,"Man City","Liverpool","Home"
0,"Burnley","Man United","Home"
3,"Everton","Chelsea","Home"
0,"Man City","Stoke","Home"
3,"Newcastle","Crystal Palace","Home"
1,"QPR","Sunderland","Home"
3,"Swansea","West Brom","Home"
1,"West Ham","Southampton","Home"
2,"Aston Villa","Hull","Home"
1,"Leicester","Arsenal","Home"
0,"Tottenham","Liverpool","Home"
2,"Arsenal","Man City","Home"
4,"Chelsea","Swansea","Home"
0,"Crystal Palace","Burnley","Home"
0,"Liverpool","Aston Villa","Home"
4,"Southampton","Newcastle","Home"
0,"Stoke","Leicester","Home"
2,"Sunderland","Tottenham","Home"
0,"West Brom","Everton","Home"
4,"Man United","QPR","Home"
2,"Hull","West Ham","Home"
0,"Aston Villa","Arsenal","Home"
0,"Burnley","Sunderland","Home"
2,"Newcastle","Hull","Home"
2,"QPR","Stoke","Home"
0,"Swansea","Southampton","Home"
3,"West Ham","Liverpool","Home"
2,"Everton","Crystal Palace","Home"
5,"Leicester","Man United","Home"
1,"Man City","Chelsea","Home"
0,"Tottenham","West Brom","Home"
1,"Arsenal","Tottenham","Home"
3,"Chelsea","Aston Villa","Home"
2,"Crystal Palace","Leicester","Home"
2,"Hull","Man City","Home"
1,"Liverpool","Everton","Home"
2,"Man United","West Ham","Home"
2,"Southampton","QPR","Home"
0,"Sunderland","Swansea","Home"
4,"West Brom","Burnley","Home"
1,"Stoke","Newcastle","Home"
0,"Aston Villa","Man City","Home"
2,"Hull","Crystal Palace","Home"
2,"Leicester","Burnley","Home"
2,"Liverpool","West Brom","Home"
3,"Sunderland","Stoke","Home"
2,"Swansea","Newcastle","Home"
2,"Chelsea","Arsenal","Home"
2,"Man United","Everton","Home"
1,"Tottenham","Southampton","Home"
2,"West Ham","QPR","Home"
2,"Arsenal","Hull","Home"
1,"Burnley","West Ham","Home"
1,"Crystal Palace","Chelsea","Home"
3,"Everton","Aston Villa","Home"
4,"Man City","Tottenham","Home"
1,"Newcastle","Leicester","Home"
8,"Southampton","Sunderland","Home"
2,"QPR","Liverpool","Home"
2,"Stoke","Swansea","Home"
2,"West Brom","Man United","Home"
0,"Liverpool","Hull","Home"
1,"Southampton","Stoke","Home"
0,"Sunderland","Arsenal","Home"
2,"Swansea","Leicester","Home"
2,"West Brom","Crystal Palace","Home"
2,"West Ham","Man City","Home"
1,"Burnley","Everton","Home"
1,"Man United","Chelsea","Home"
1,"Tottenham","Newcastle","Home"
2,"QPR","Aston Villa","Home"
3,"Arsenal","Burnley","Home"
2,"Chelsea","QPR","Home"
0,"Everton","Swansea","Home"
0,"Hull","Southampton","Home"
0,"Leicester","West Brom","Home"
1,"Newcastle","Liverpool","Home"
2,"Stoke","West Ham","Home"
1,"Aston Villa","Tottenham","Home"
1,"Man City","Man United","Home"
1,"Crystal Palace","Sunderland","Home"
1,"Burnley","Hull","Home"
1,"Liverpool","Chelsea","Home"
1,"Man United","Crystal Palace","Home"
2,"QPR","Man City","Home"
2,"Southampton","Leicester","Home"
0,"West Ham","Aston Villa","Home"
1,"Sunderland","Everton","Home"
2,"Swansea","Arsenal","Home"
1,"Tottenham","Stoke","Home"
0,"West Brom","Newcastle","Home"
1,"Arsenal","Man United","Home"
2,"Chelsea","West Brom","Home"
2,"Everton","West Ham","Home"
0,"Leicester","Sunderland","Home"
2,"Man City","Swansea","Home"
1,"Newcastle","QPR","Home"
1,"Stoke","Burnley","Home"
3,"Crystal Palace","Liverpool","Home"
1,"Hull","Tottenham","Home"
1,"Aston Villa","Southampton","Home"
1,"Burnley","Aston Villa","Home"
1,"Liverpool","Stoke","Home"
3,"Man United","Hull","Home"
3,"QPR","Leicester","Home"
0,"Sunderland","Chelsea","Home"
1,"Swansea","Crystal Palace","Home"
0,"West Brom","Arsenal","Home"
1,"West Ham","Newcastle","Home"
0,"Southampton","Man City","Home"
2,"Tottenham","Everton","Home"
1,"Burnley","Newcastle","Home"
0,"Crystal Palace","Aston Villa","Home"
1,"Leicester","Liverpool","Home"
2,"Man United","Stoke","Home"
2,"Swansea","QPR","Home"
1,"West Brom","West Ham","Home"
1,"Arsenal","Southampton","Home"
3,"Chelsea","Tottenham","Home"
1,"Everton","Hull","Home"
1,"Sunderland","Man City","Home"
0,"Hull","West Brom","Home"
0,"Liverpool","Sunderland","Home"
1,"Man City","Everton","Home"
2,"Newcastle","Chelsea","Home"
2,"QPR","Burnley","Home"
3,"Stoke","Arsenal","Home"
0,"Tottenham","Crystal Palace","Home"
2,"Aston Villa","Leicester","Home"
3,"West Ham","Swansea","Home"
1,"Southampton","Man United","Home"
4,"Arsenal","Newcastle","Home"
1,"Burnley","Southampton","Home"
2,"Chelsea","Hull","Home"
1,"Crystal Palace","Stoke","Home"
0,"Leicester","Man City","Home"
1,"Sunderland","West Ham","Home"
1,"West Brom","Aston Villa","Home"
3,"Man United","Liverpool","Home"
1,"Swansea","Tottenham","Home"
3,"Everton","QPR","Home"
1,"Aston Villa","Man United","Home"
0,"Hull","Swansea","Home"
3,"Man City","Crystal Palace","Home"
3,"QPR","West Brom","Home"
3,"Southampton","Everton","Home"
2,"Tottenham","Burnley","Home"
2,"West Ham","Leicester","Home"
2,"Liverpool","Arsenal","Home"
